Prioritaet;Spanisch;Englisch;Deutsch;tema;theme;Thema;Caminos A1 (Klett) Units
;desear;;wuenschen;;;Verb;Unidad 5 A
;el queso;;Kaese;;;Essen;Unidad 5 A
;dar;;geben;;;Verb;Unidad 5 A
;el aceite de oliva;;Olivenoel;;;Essen;Unidad 5 A
;caro;;teuer;;;Adjektiv;Unidad 5 A
;entonces;;dann, also;;;Fuellwort;Unidad 5 A
;preguntar;;fragen;;;Verb;Unidad 5 A
;el precio;;Preis;;;Einkaufen;Unidad 5 A
;ir de compras;;einkaufen gehen;;;Verb;Unidad 5 A
;mejor;;besser;;;Steigerung/Vergleich;Unidad 5 A
;el huevo;;Ei;;;Essen;Unidad 5 A
;el te!;;Tee;;;Essen;Unidad 5 A
;el limo!n;;Zitrone;;;Essen;Unidad 5 A
;el azu!car;;Zucker;;;Essen;Unidad 5 A
;la cantidad;;Menge;;;Zahlen;Unidad 5 A
;la mandarina;;Mandarine;;;Essen;Unidad 5 A
;Lo siento.;;Es tut mir Leid.;;;Floskel;Unidad 5 A
;sentir;;bedauern;;;Verb;Unidad 5 A
;hoy;;heute;;;Kalender;Unidad 5 A
;la entrada;;Vorspeise, Eintritt;;;Essen;Unidad 5 B
;la sopa;;Suppe;;;Essen;Unidad 5 B
;la ensalada mixta;;gemischter Salat;;;Essen;Unidad 5 B
;la carne;;Fleisch;;;Essen;Unidad 5 B
;el pescado;;Fisch;;;Essen;Unidad 5 B
;las patatas fritas;;Pommes frites;;;Essen;Unidad 5 B
;el pollo;;Haehnchen;;;Essen;Unidad 5 B
;al ajillo;;in Knoblauchsosse;;;Essen;Unidad 5 B
;la merluza;;Seehecht;;;Essen;Unidad 5 B
;a la romana;;paniert;;;Essen;Unidad 5 B
;las gambas;;Garnelen;;;Essen;Unidad 5 B
;a la plancha;;gegrillt, gebraten;;;Essen;Unidad 5 B
;romanar;;panieren;;;Verb;Unidad 5 B
;planchar;;grillen;;;Verb;Unidad 5 B
;el postre;;Nachtisch;;;Essen;Unidad 5 B
;el flan;;Karamellpudding;;;Essen;Unidad 5 B
;el helado;;Eis;;;Essen;Unidad 5 B
;la tarta;;Kuchen, Torte;;;Essen;Unidad 5 B
;la fresa;;Erdbeere;;;Essen;Unidad 5 B
;el sorbete;;Sorbet;;;Essen;Unidad 5 B
;la fruta;;Frucht, Obst;;;Essen;Unidad 5 B
;la bedida;;Getraenk;;;Essen;Unidad 5 B
;el gas;;Kohlensaeure;;;Essen;Unidad 5 B
;el zumo;;Saft;;;Essen;Unidad 5 B
;la naranja;;Orange;;;Essen;Unidad 5 B
;el vino tinto;;Rotwein;;;Essen;Unidad 5 B
;el vino blanco;;Weisswein;;;Essen;Unidad 5 B
;el vino rosado;;Rose!wein;;;Essen;Unidad 5 B
;el menu! del di!a;;Tagesgericht;;;Essen;Unidad 5 B
;el cafe! solo;;Espresso;;;Essen;Unidad 5 B
;el cortado;;Espresso mit etwas Milch;;;Essen;Unidad 5 B
;el cafe! con leche;;Milchkaffee;;;Essen;Unidad 5 B
;el/la camarero/-a;;Kellner/in;;;Beruf;Unidad 5 B
;la mesa;;Tisch;;;Einrichtung;Unidad 5 B
;preferir;;bevorzugen;;;Verb;Unidad 5 B
;de primero;;als Vorspeise;;;Essen;Unidad 5 B
;de segundo;;als Hauptspeise;;;Essen;Unidad 5 B
;de postre;;als Nachtisch;;;Essen;Unidad 5 B
;para mi!;;für mich;;;Floskel;Unidad 5 B
;para beber;;zu trinken;;;Essen;Unidad 5 B
;pedir;;verlangen, bitten;;;Verb;Unidad 5 B
;de momento;;im Augenblick;;;Kalender;Unidad 5 B
;durante;;waehrend;;;Konjuntion;Unidad 5 B
;la comida;;Essen, Mittagessen;;;Essen;Unidad 5 B
;igualmente;;gleichfalls;;;Adverb;Unidad 5 B
;rico;;lecker;;;Essen;Unidad 5 B
;probar;;probieren;;;Verb;Unidad 5 B
;traer;;bringen;;;Verb;Unidad 5 B
;ahora mismo;;sofort;;;Kalender;Unidad 5 B
;la cuenta;;Rechnung;;;Essen;Unidad 5 B
;pagar;;zahlen;;;Verb;Unidad 5 B
;la definicio!n;;Definition;;;Sprache;Unidad 5 B
;el cuchillo;;Messer;;;Kueche;Unidad 5 B
;servir para;;dazu dienen;;;Verb;Unidad 5 B
;cortar;;schneiden;;;Verb;Unidad 5 B
;la cuchara;;Gabel;;;Kueche;Unidad 5 B
;el vaso;;Wasserglas;;;Kueche;Unidad 5 B
;la copa;;Glas mit Stiel;;;Kueche;Unidad 5 B
;el plato;;Teller, Gericht;;;Kueche;Unidad 5 B
;la servilleta;;Serviette;;;Kueche;Unidad 5 B
;la sal;;Salz;;;Essen;Unidad 5 B
;el comentario;;Kommentar;;;Sprache;Unidad 5 B
;relacionar;;verbinden;;;Verb;Unidad 5 B
;salado;;salzig;;;Adjektiv;Unidad 5 B
;picante;;scharf;;;Adjektiv;Unidad 5 B
;fri!o;;kalt;;;Adjektiv;Unidad 5 B
;soso;;fad;;;Adjektiv;Unidad 5 B
;demasiado;;zu;;;Fuellwort;Unidad 5 B
;caliente;;warm;;;Adjektiv;Unidad 5 B
;la costumbre;;Gewohnheit, Brauch;;;Menschen;Unidad 5 C
;el emilio;;E-mail;;;Adresse;Unidad 5 C
;la mermelada;;Marmelade;;;Essen;Unidad 5 C
;los calamares;;Tintenfischringe;;;Essen;Unidad 5 C
;Espero que bien.;;Ich hoffe, gut.;;;Floskel;Unidad 5 C
;esperar;;hoffen;;;Verb;Unidad 5 C
;creer;;glauben;;;Verb;Unidad 5 C
;que;;dass;;;Konjuntion;Unidad 5 C
;poder;;koennen;;;Verb;Unidad 5 C
;entender;;verstehen;;;Verb;Unidad 5 C
;algunos;;einige;;;Zahlen;Unidad 5 C
;la cosa;;Ding, Sache;;;Dinge;Unidad 5 C
;desayunar;;fruehstuecken;;;Essen;Unidad 5 C
;la tostada;;geroestetes Weissbrot;;;Essen;Unidad 5 C
;al mediodi!a;;mittags;;;Kalender;Unidad 5 C
;almorzar;;zu Mittag essen;;;Essen;Unidad 5 C
;antes;;vorher;;;Kalender;Unidad 5 C
;el aperitivo;;Aperitif;;;Essen;Unidad 5 C
;la can!a;;kleines gezapftes Bier;;;Essen;Unidad 5 C
;las tapas;;Appetithaeppchen;;;Essen;Unidad 5 C
;la porcio!n;;Portion;;;Essen;Unidad 5 C
;el champin!o!n;;Champignon;;;Essen;Unidad 5 C
;siempre;;immer;;;Kalender;Unidad 5 C
;cenar;;zu Abend essen;;;Essen;Unidad 5 C
;la cena;;Abendessen;;;Essen;Unidad 5 C
;ligero;;leicht;;;Adjektiv;Unidad 5 C
;el arroz;;Reis;;;Essen;Unidad 5 C
;tener hambre;;Hunger haben;;;Essen;Unidad 5 C
;el hambre;;Hunger;;;Essen;Unidad 5 C
;Un beso.;;Liebe Gruesse.;;;Brief;Unidad 5 C
;el beso;;Kuss;;;Menschen;Unidad 5 C
;el desayuno;;Fruehstueck;;;Essen;Unidad 5 C
;comer;;essen;;;Essen;Unidad 5 C
;A que! hora?;;Um wie viel Uhr?;;;Floskel;Unidad 5 C
;Que! hora es?;;Wie spät ist es?;;;Floskel;Unidad 5 C
;a la una;;um eins;;;Uhrzeit;Unidad 5 C
;a las diez;;um zehn;;;Uhrzeit;Unidad 5 C
;las diez en punto;;Punkt zehn Uhr;;;Uhrzeit;Unidad 5 C
;las diez y cuarto;;Viertel nach zehn;;;Uhrzeit;Unidad 5 C
;las diez menos cuarto;;Viertel vor zehn;;;Uhrzeit;Unidad 5 C
;las diez y media;;halb elf;;;Uhrzeit;Unidad 5 C
;Tiene hora?;;Haben Sie die Uhrzeit?;;;Floskel;Unidad 5 C
;Faltan veinte para las tres.;;Es ist zwanzig vor drei. LA;;;Uhrzeit;Unidad 5 C
;la lista;;Liste;;;Sprache;Unidad 5 C
;ver la tele;;fernsehen;;;Verb;Unidad 5 C
;terminar;;beenden;;;Verb;Unidad 5 C
;presentar;;vorstellen;;;Verb;Unidad 5 C
;el bocadillo;;belegtes Brot;;;Essen;Unidad 5 C
;frito;;frittiert;;;Essen;Unidad 5 C
;la albo!ndiga;;Fleischkloesschen;;;Essen;Unidad 5 C
;llevar;;enthalten;;;Essen;Unidad 5 C
;el ajo;;Knoblauch;;;Essen;Unidad 5 C
;la racio!n;;Portion;;;Essen;Unidad 5 C
;tarde;;spät;;;Kalender;Unidad 5 C
;describir;;beschreiben;;;Verb;Unidad 5 C
